37,37
74,37
111,37
148,37
185,37
222,37
259,37
296,37
333,37
370,37
407,37
444,37
481,37
518,37
555,37
592,37
629,37
666,37
666,74
629,74
629,111
666,111
666,148
629,148
629,185
666,185
666,222
629,222
629,259
666,259
666,296
629,296
629,333
666,333
666,370
629,370
629,407
666,407
666,444
629,444
629,481
666,481
666,518
629,518
629,555
629,555
629,518
666,518
666,481
629,481
629,444
666,444
666,407
629,407
629,370
666,370
666,333
629,333
629,296
666,296
666,259
629,259
629,222
666,222
666,185
629,185
629,148
666,148
666,111
629,111
629,74
666,74
666,37
629,37
592,37
555,37
518,37
481,37
444,37
407,37
370,37
333,37
296,37
259,37
222,37
185,37
148,37
111,37
74,37
74,37
74,74
37,74
37,111
74,111
111,111
148,111
185,111
222,111
259,111
296,111
333,111
370,111
407,111
444,111
481,111
518,111
555,111
555,148
555,185
555,222
555,259
555,296
555,333
555,370
555,407
555,444
555,481
555,518
555,555
518,555
481,555
444,555
407,555
370,555
333,555
296,555
259,555
222,555
185,555
148,555
111,555
74,555
37,555
37,592
37,629
74,629
111,629
148,629
185,629
222,629
259,629
296,629
333,629
370,629
407,629
444,629
481,629
518,629
555,629
